ticket_id,text,category,priority,channel,sentiment,resolution_status,response_time_hours,resolution_time_hours,customer_satisfaction,word_count,char_count,cleaned_text,text_length,unique_words
TKT-1018,"To whom it may concern, I keep getting disconnected from the server This is affecting my work significantly.",Technical Support,Medium,Email,Negative,Pending,1.4,10.71,3,18,108,may concern keep getting disconnected server affecting work significantly,108,9
TKT-1019,"Hello, I was denied a refund but the product is faulty Looking forward to your prompt response.",Returns & Refunds,High,Chat,Negative,Resolved,2.16,5.18,3,17,95,hello denied refund product faulty looking forward prompt response,95,9
TKT-1020,"Good day, The courier left my package in the wrong location Looking forward to your prompt response.",Shipping & Delivery,Medium,Chat,Negative,Resolved,14.57,30.84,5,17,100,good day courier left package wrong location looking forward prompt response,100,11
TKT-1021,"Hi there, Does your product comply with GDPR regulations This is affecting my work significantly.",Product Information,Critical,Email,Neutral,Resolved,0.5,1.5,5,15,97,product comply gdpr regulation affecting work significantly,97,7
TKT-1022,"Hi, Can I exchange the product for a different size This is affecting my work significantly.",Returns & Refunds,Medium,Web Form,Positive,Resolved,3.29,8.92,4,16,92,exchange product different size affecting work significantly,92,7
TKT-1023,"Hi team, Please update my payment method to a new card Please let me know what steps I should take.",Billing & Payments,Critical,Phone,Neutral,Pending,0.5,4.41,2,20,99,team please update payment method new card please let know step take,99,11
TKT-1024,"To whom it may concern, Why was my card declined when making a payment This is affecting my work significantly.",Billing & Payments,Medium,Email,Negative,Resolved,21.64,35.57,3,20,111,may concern card declined making payment affecting work significantly,111,9
TKT-1025,"Hi team, I sent the return package but got no confirmation",Returns & Refunds,Low,Email,Negative,Pending,17.22,35.71,3,11,58,team sent return package got confirmation,58,6
TKT-1026,"Dear Support, The mobile app is very slow and unresponsive This is affecting my work significantly.",Technical Support,Low,Web Form,Negative,Resolved,3.55,33.58,3,16,99,dear support mobile app slow unresponsive affecting work significantly,99,9
TKT-1027,Please process my refund to the original payment method Please let me know what steps I should take.,Returns & Refunds,Critical,Phone,Negative,Resolved,1.7,4.13,4,18,100,please process refund original payment method please let know step take,100,10
TKT-1028,"Hi team, I need a prepaid return label for my item Thank you for your help.",Returns & Refunds,Low,Web Form,Positive,Pending,24.06,53.88,2,16,75,team need prepaid return label item thank help,75,8
TKT-1029,"Dear Support, My account has been locked and I cannot access it",Account Management,High,Phone,Negative,Pending,4.11,5.16,2,12,63,dear support account locked cannot access,63,6
TKT-1030,"Hello, I was charged twice for my subscription this month Looking forward to your prompt response.",Billing & Payments,High,Email,Negative,Resolved,4.36,5.36,3,16,98,hello charged twice subscription month looking forward prompt response,98,9
TKT-1031,"Hi team, My refund has not been processed after two weeks I need urgent assistance with this.",Returns & Refunds,Medium,Email,Negative,Pending,14.95,24.69,2,17,93,team refund processed two week need urgent assistance,93,8
TKT-1032,"Dear team, Does your product comply with GDPR regulations Please let me know what steps I should take.",Product Information,High,Phone,Negative,Pending,3.36,4.54,2,18,102,dear team product comply gdpr regulation please let know step take,102,11
TKT-1033,"Hello, My order has not arrived yet and it is overdue Please let me know what steps I should take.",Shipping & Delivery,Low,Chat,Neutral,Escalated,53.43,125.23,2,20,98,hello order arrived yet overdue please let know step take,98,10
TKT-1034,"Hello, Can I exchange the product for a different size Please let me know what steps I should take.",Returns & Refunds,Medium,Email,Negative,Resolved,15.38,27.25,3,19,99,hello exchange product different size please let know step take,99,10
TKT-1035,"Dear team, Does the product support integration with Salesforce Please help me resolve this as soon as possible.",Product Information,Medium,Web Form,Neutral,Escalated,29.56,46.2,1,18,112,dear team product support integration salesforce please help resolve soon possible,112,11
TKT-1036,"Hi there, My store credit was not applied to my account Looking forward to your prompt response.",Returns & Refunds,Critical,Web Form,Neutral,Escalated,1.92,2.96,1,17,96,store credit applied account looking forward prompt response,96,8
TKT-1037,"Hi there, I received a damaged item in my shipment This is affecting my work significantly.",Shipping & Delivery,High,Chat,Neutral,Resolved,11.01,25.3,4,16,91,received damaged item shipment affecting work significantly,91,7
TKT-1038,"Dear Support, I keep getting disconnected from the server Please help me resolve this as soon as possible.",Technical Support,Low,Email,Negative,Escalated,17.53,168.63,2,18,106,dear support keep getting disconnected server please help resolve soon possible,106,11
TKT-1039,"Dear team, I need to cancel my order before it is shipped Please help me resolve this as soon as possible.",Shipping & Delivery,Medium,Email,Negative,Resolved,19.89,79.7,5,21,106,dear team need cancel order shipped please help resolve soon possible,106,11
TKT-1040,"Hi there, Please update my payment method to a new card This is affecting my work significantly.",Billing & Payments,Critical,Phone,Negative,Resolved,1.05,4.68,5,17,96,please update payment method new card affecting work significantly,96,9
TKT-1041,"Hello, Why was my card declined when making a payment I need urgent assistance with this.",Billing & Payments,High,Email,Neutral,Resolved,3.45,4.45,4,16,89,hello card declined making payment need urgent assistance,89,8
TKT-1042,"Hello, I sent the return package but got no confirmation Looking forward to your prompt response.",Returns & Refunds,Medium,Email,Neutral,Resolved,0.5,62.76,4,16,97,hello sent return package got confirmation looking forward prompt response,97,10
TKT-1043,"Dear team, Dashboard is not loading any data for me Looking forward to your prompt response.",Technical Support,Low,Email,Negative,Pending,23.41,29.83,2,16,92,dear team dashboard loading data looking forward prompt response,92,9
TKT-1044,"Hi team, I need to transfer my account to another user This is affecting my work significantly.",Account Management,Medium,Phone,Negative,Resolved,44.68,70.83,4,17,95,team need transfer account another user affecting work significantly,95,9
TKT-1045,"Good day, The courier left my package in the wrong location Please let me know what steps I should take.",Shipping & Delivery,High,Email,Neutral,Resolved,0.5,39.95,5,20,104,good day courier left package wrong location please let know step take,104,12
TKT-1046,"To whom it may concern, What languages does your platform currently support",Product Information,Medium,Email,Neutral,Resolved,3.46,32.14,5,12,75,may concern language platform currently support,75,6
TKT-1047,"Hello, I received the wrong item in my package This is affecting my work significantly.",Shipping & Delivery,Medium,Phone,Neutral,Escalated,9.7,43.76,1,15,87,hello received wrong item package affecting work significantly,87,8
TKT-1048,"To whom it may concern, I cannot log in to my account after the update Please help me resolve this as soon as possible.",Technical Support,Low,Email,Neutral,Pending,2.96,6.35,2,24,119,may concern cannot log account update please help resolve soon possible,119,11
TKT-1049,"Good day, The delivery estimate keeps getting pushed further This is affecting my work significantly.",Shipping & Delivery,High,Email,Negative,Resolved,2.71,10.4,3,15,101,good day delivery estimate keep getting pushed affecting work significantly,101,10
TKT-1050,"Hi, My invoice shows incorrect amount, please fix it This is affecting my work significantly.",Billing & Payments,Medium,Chat,Neutral,Resolved,0.56,17.45,5,15,93,invoice show incorrect amount please fix affecting work significantly,93,9
TKT-1051,"To whom it may concern, I was charged twice for my subscription this month I need urgent assistance with this.",Billing & Payments,Medium,Email,Negative,Pending,0.88,37.9,2,20,110,may concern charged twice subscription month need urgent assistance,110,9
TKT-1052,"Hi there, I want to change the delivery address for my order",Shipping & Delivery,Medium,Chat,Negative,Resolved,12.37,34.44,4,12,60,want change delivery address order,60,5
TKT-1053,"Dear Support, The software is not compatible with my operating system",Technical Support,Critical,Web Form,Neutral,Escalated,0.5,1.5,1,11,69,dear support software compatible operating system,69,6
TKT-1054,"Hi team, Error message appears every time I try to save This is affecting my work significantly.",Technical Support,Low,Email,Positive,Pending,9.22,143.39,2,17,96,team error message appears every time try save affecting work significantly,96,11
TKT-1055,"Hi team, My invoice shows incorrect amount, please fix it I have been waiting for a while now.",Billing & Payments,High,Phone,Neutral,Resolved,3.97,29.16,5,18,94,team invoice show incorrect amount please fix waiting,94,8
TKT-1056,"Dear team, Does your product comply with GDPR regulations Please help me resolve this as soon as possible.",Product Information,High,Phone,Neutral,Resolved,6.58,62.46,4,18,106,dear team product comply gdpr regulation please help resolve soon possible,106,11
TKT-1057,"Hello, The replacement item also arrived damaged Please help me resolve this as soon as possible.",Returns & Refunds,Medium,Web Form,Negative,Resolved,23.46,43.63,5,16,97,hello replacement item also arrived damaged please help resolve soon possible,97,11
TKT-1058,"To whom it may concern, Is there an API available for custom integrations I need urgent assistance with this.",Product Information,High,Chat,Positive,Escalated,7.01,11.63,3,19,109,may concern api available custom integration need urgent assistance,109,9
TKT-1059,"Good day, My data is not syncing across devices properly",Technical Support,Medium,Email,Positive,Escalated,4.62,112.51,3,10,56,good day data syncing across device properly,56,7
TKT-1060,"Dear Support, The feature stopped working after the last update Please let me know what steps I should take.",Technical Support,Medium,Email,Negative,Resolved,4.78,44.97,5,19,108,dear support feature stopped working last update please let know step take,108,12
TKT-1061,"Hello, What are the system requirements for your software",Product Information,High,Chat,Negative,Resolved,0.5,10.07,4,9,57,hello system requirement software,57,4
TKT-1062,"Hi, I received a damaged item in my shipment Please help me resolve this as soon as possible.",Shipping & Delivery,High,Email,Neutral,Resolved,5.73,17.29,3,18,93,received damaged item shipment please help resolve soon possible,93,9
TKT-1063,"Dear Support, Why was my card declined when making a payment Thank you for your help.",Billing & Payments,Low,Phone,Negative,Resolved,29.4,35.51,3,16,85,dear support card declined making payment thank help,85,8
TKT-1064,"Good day, What is the data retention policy for your service Thank you for your help.",Product Information,Critical,Phone,Neutral,Resolved,2.94,15.75,5,16,85,good day data retention policy service thank help,85,8
TKT-1065,"Hi team, I need a refund for the payment made last week Please help me resolve this as soon as possible.",Billing & Payments,Medium,Chat,Positive,Pending,6.62,91.88,2,21,104,team need refund payment made last week please help resolve soon possible,104,12
TKT-1066,"Dear team, Is there a free trial available for your enterprise plan Please let me know what steps I should take.",Product Information,Medium,Email,Positive,Resolved,1.52,6.02,5,21,112,dear team free trial available enterprise plan please let know step take,112,12
TKT-1067,Is there an API available for custom integrations,Product Information,High,Chat,Negative,Escalated,1.35,25.7,1,8,49,api available custom integration,49,4
TKT-1068,"Hi there, My data is not syncing across devices properly This is affecting my work significantly.",Technical Support,Critical,Email,Positive,Escalated,2.22,4.47,3,16,97,data syncing across device properly affecting work significantly,97,8
TKT-1069,The payment gateway keeps showing an error Please help me resolve this as soon as possible.,Billing & Payments,Low,Chat,Negative,Escalated,23.82,109.5,1,16,91,payment gateway keep showing error please help resolve soon possible,91,10
TKT-1070,"Hi, Can I exchange the product for a different size Please help me resolve this as soon as possible.",Returns & Refunds,Medium,Email,Negative,Escalated,3.96,112.1,3,19,100,exchange product different size please help resolve soon possible,100,9
TKT-1071,I received the wrong item in my package Looking forward to your prompt response.,Shipping & Delivery,Medium,Email,Negative,Resolved,7.48,23.17,4,14,80,received wrong item package looking forward prompt response,80,8
TKT-1072,"Hello, I need a copy of my tax invoice for last year Looking forward to your prompt response.",Billing & Payments,Low,Phone,Negative,Escalated,18.43,45.1,3,18,93,hello need copy tax invoice last year looking forward prompt response,93,11
TKT-1073,"Hello, The payment gateway keeps showing an error This is affecting my work significantly.",Billing & Payments,Medium,Phone,Neutral,Escalated,35.9,82.47,2,14,90,hello payment gateway keep showing error affecting work significantly,90,9
TKT-1074,"Good day, Can you explain the difference between basic and pro Please help me resolve this as soon as possible.",Product Information,Medium,Email,Negative,Pending,0.5,17.5,4,20,111,good day explain difference basic pro please help resolve soon possible,111,11
TKT-1075,"Hi team, I received a damaged item in my shipment I have been waiting for a while now.",Shipping & Delivery,Critical,Chat,Neutral,Resolved,3.5,9.04,5,18,86,team received damaged item shipment waiting,86,6
TKT-1076,"To whom it may concern, My account has been locked and I cannot access it This is affecting my work significantly.",Account Management,Medium,Email,Neutral,Resolved,24.01,84.35,5,21,114,may concern account locked cannot access affecting work significantly,114,9
TKT-1077,"Dear Support, I cannot verify my email address with the link sent Please let me know what steps I should take.",Account Management,Critical,Web Form,Negative,Pending,1.89,2.89,3,21,110,dear support cannot verify email address link sent please let know step take,110,13
TKT-1078,"Hello, How many users can I add under a single license Please help me resolve this as soon as possible.",Product Information,Low,Email,Negative,Resolved,26.73,96.04,4,20,103,hello many user add single license please help resolve soon possible,103,11
TKT-1079,"Hello, Do you offer any educational or nonprofit discounts I need urgent assistance with this.",Product Information,Low,Phone,Negative,Resolved,17.62,155.27,4,15,94,hello offer educational nonprofit discount need urgent assistance,94,8
TKT-1080,I want to change the delivery address for my order Please let me know what steps I should take.,Shipping & Delivery,Medium,Email,Negative,Resolved,0.5,51.15,5,19,95,want change delivery address order please let know step take,95,10
TKT-1081,"Hello, I keep getting disconnected from the server This is affecting my work significantly.",Technical Support,High,Email,Neutral,Resolved,1.73,12.42,4,14,91,hello keep getting disconnected server affecting work significantly,91,8
TKT-1082,"Dear Support, I want to merge two accounts into one",Account Management,Medium,Chat,Negative,Resolved,18.37,36.55,5,10,51,dear support want merge two account one,51,7
TKT-1083,"Hi there, The courier left my package in the wrong location Please help me resolve this as soon as possible.",Shipping & Delivery,High,Web Form,Negative,Resolved,2.71,6.29,4,20,108,courier left package wrong location please help resolve soon possible,108,10
TKT-1084,"Hi there, Please process my refund to the original payment method I need urgent assistance with this.",Returns & Refunds,Critical,Chat,Neutral,Resolved,0.5,1.5,3,17,101,please process refund original payment method need urgent assistance,101,9
TKT-1085,"Hello, The mobile app is very slow and unresponsive I need urgent assistance with this.",Technical Support,Low,Chat,Neutral,Resolved,4.82,35.36,5,15,87,hello mobile app slow unresponsive need urgent assistance,87,8
TKT-1086,"Dear Support, Please process my refund to the original payment method Please let me know what steps I should take.",Returns & Refunds,Medium,Email,Negative,Resolved,0.5,7.16,4,20,114,dear support please process refund original payment method please let know step take,114,12
TKT-1087,"Good day, Please remove the two factor authentication from my account I have been waiting for a while now.",Account Management,Low,Chat,Positive,Resolved,5.55,38.16,4,19,106,good day please remove two factor authentication account waiting,106,9
TKT-1088,"Hi there, Dashboard is not loading any data for me",Technical Support,Medium,Chat,Positive,Pending,1.02,75.48,4,10,50,dashboard loading data,50,3
TKT-1089,"Hello, I forgot my password and need to reset it Thank you for your help.",Account Management,Low,Phone,Neutral,Pending,4.9,21.81,2,15,73,hello forgot password need reset thank help,73,7
TKT-1090,"Hi, I forgot my password and need to reset it I have been waiting for a while now.",Account Management,Medium,Chat,Negative,Resolved,16.51,17.86,4,18,82,forgot password need reset waiting,82,5
TKT-1091,"Hi there, Dashboard is not loading any data for me Looking forward to your prompt response.",Technical Support,High,Chat,Negative,Resolved,0.5,7.62,4,16,91,dashboard loading data looking forward prompt response,91,7
TKT-1092,I sent the return package but got no confirmation Thank you for your help.,Returns & Refunds,Low,Email,Neutral,Resolved,9.33,26.43,4,14,74,sent return package got confirmation thank help,74,7
TKT-1093,"Hello, My order has not arrived yet and it is overdue I need urgent assistance with this.",Shipping & Delivery,Low,Phone,Negative,Resolved,37.36,87.04,3,17,89,hello order arrived yet overdue need urgent assistance,89,8
TKT-1094,My refund has not been processed after two weeks Please help me resolve this as soon as possible.,Returns & Refunds,Medium,Chat,Negative,Pending,1.64,13.65,2,18,97,refund processed two week please help resolve soon possible,97,9
TKT-1095,Please remove the two factor authentication from my account Looking forward to your prompt response.,Account Management,Medium,Web Form,Negative,Resolved,11.17,20.92,3,15,100,please remove two factor authentication account looking forward prompt response,100,10
TKT-1096,"Hi, Does the product support integration with Salesforce Please let me know what steps I should take.",Product Information,Low,Email,Neutral,Resolved,8.05,21.76,5,17,101,product support integration salesforce please let know step take,101,9
TKT-1097,"To whom it may concern, I forgot my password and need to reset it This is affecting my work significantly.",Account Management,Low,Web Form,Negative,Resolved,2.85,39.37,5,20,106,may concern forgot password need reset affecting work significantly,106,9
TKT-1098,"Hello, How do I initiate a return for an online purchase I have been waiting for a while now.",Returns & Refunds,High,Email,Negative,Resolved,4.42,36.22,4,19,93,hello initiate return online purchase waiting,93,6
TKT-1099,"Dear Support, Can I expedite the shipping on my recent order This is affecting my work significantly.",Shipping & Delivery,Medium,Email,Neutral,Pending,4.69,24.64,3,17,101,dear support expedite shipping recent order affecting work significantly,101,9
TKT-1100,"Hi team, The website is showing a 500 internal server error Please help me resolve this as soon as possible.",Technical Support,Low,Email,Positive,Resolved,20.89,32.96,4,20,108,team website showing internal server error please help resolve soon possible,108,11
TKT-1101,"To whom it may concern, The export function produces corrupt files Thank you for your help.",Technical Support,Medium,Email,Positive,Resolved,0.79,166.43,4,16,91,may concern export function produce corrupt file thank help,91,9
TKT-1102,"Good day, My store credit was not applied to my account Please let me know what steps I should take.",Returns & Refunds,High,Phone,Neutral,Pending,3.62,11.28,3,20,100,good day store credit applied account please let know step take,100,11
TKT-1103,"Hello, The export function produces corrupt files Thank you for your help.",Technical Support,Medium,Web Form,Negative,Pending,1.59,48.84,4,12,74,hello export function produce corrupt file thank help,74,8
TKT-1104,"Good day, My promo code is not being applied to my bill This is affecting my work significantly.",Billing & Payments,Low,Chat,Positive,Pending,44.26,55.1,3,18,96,good day promo code applied bill affecting work significantly,96,9
TKT-1105,"Hi there, How many users can I add under a single license This is affecting my work significantly.",Product Information,Low,Phone,Neutral,Resolved,26.26,79.57,4,18,98,many user add single license affecting work significantly,98,8
TKT-1106,"Good day, The application keeps crashing when I open it Thank you for your help.",Technical Support,High,Chat,Neutral,Pending,1.89,9.35,2,15,80,good day application keep crashing open thank help,80,8
TKT-1107,"Hello, I want to merge two accounts into one Please let me know what steps I should take.",Account Management,High,Web Form,Negative,Resolved,1.94,11.35,5,18,89,hello want merge two account one please let know step take,89,11
TKT-1108,I want to change my username on the platform Thank you for your help.,Account Management,Medium,Chat,Positive,Escalated,4.89,10.29,2,14,69,want change username platform thank help,69,6
TKT-1109,"To whom it may concern, Please process my refund to the original payment method Please help me resolve this as soon as possible.",Returns & Refunds,Medium,Phone,Negative,Pending,1.97,15.42,2,23,128,may concern please process refund original payment method please help resolve soon possible,128,12
TKT-1110,"Dear Support, I cannot find my billing history on the portal Please let me know what steps I should take.",Billing & Payments,High,Phone,Positive,Resolved,8.37,13.4,5,20,105,dear support cannot find billing history portal please let know step take,105,12
TKT-1111,"Hi team, My invoice shows incorrect amount, please fix it I have been waiting for a while now.",Billing & Payments,Low,Chat,Negative,Resolved,38.3,50.0,4,18,94,team invoice show incorrect amount please fix waiting,94,8
TKT-1112,"Hi team, Can I exchange the product for a different size I need urgent assistance with this.",Returns & Refunds,High,Phone,Negative,Resolved,3.13,6.61,4,17,92,team exchange product different size need urgent assistance,92,8
TKT-1113,"Good day, Do you offer any educational or nonprofit discounts Please let me know what steps I should take.",Product Information,Low,Chat,Negative,Resolved,14.88,226.76,3,19,106,good day offer educational nonprofit discount please let know step take,106,11
TKT-1114,"Hi team, Subscription fee was deducted twice this month Please help me resolve this as soon as possible.",Billing & Payments,Medium,Email,Negative,Resolved,24.68,121.52,4,18,104,team subscription fee deducted twice month please help resolve soon possible,104,11
TKT-1115,"Good day, The delivery estimate keeps getting pushed further I have been waiting for a while now.",Shipping & Delivery,Medium,Email,Negative,Pending,10.3,43.9,3,17,97,good day delivery estimate keep getting pushed waiting,97,8
TKT-1116,"To whom it may concern, Can you explain the difference between basic and pro I have been waiting for a while now.",Product Information,High,Chat,Negative,Escalated,0.5,50.77,3,22,113,may concern explain difference basic pro waiting,113,7
TKT-1117,"Hi there, The item I received is defective and I need replacement Please let me know what steps I should take.",Returns & Refunds,Low,Chat,Negative,Pending,21.47,58.13,2,21,110,item received defective need replacement please let know step take,110,10
TKT-1118,"To whom it may concern, The return window has passed but the item is broken Thank you for your help.",Returns & Refunds,Medium,Email,Negative,Resolved,6.09,33.85,5,20,100,may concern return window passed item broken thank help,100,9
TKT-1119,I was denied a refund but the product is faulty Looking forward to your prompt response.,Returns & Refunds,Medium,Chat,Neutral,Pending,3.05,24.73,2,16,88,denied refund product faulty looking forward prompt response,88,8
TKT-1120,"Hi team, The feature stopped working after the last update Looking forward to your prompt response.",Technical Support,Low,Web Form,Neutral,Resolved,10.8,73.36,5,16,99,team feature stopped working last update looking forward prompt response,99,10
TKT-1121,"Hi there, My package was returned to sender by mistake Thank you for your help.",Shipping & Delivery,Low,Web Form,Negative,Resolved,3.86,42.42,3,15,79,package returned sender mistake thank help,79,6
TKT-1122,"Hi there, My order has not arrived yet and it is overdue Please let me know what steps I should take.",Shipping & Delivery,Critical,Email,Negative,Resolved,1.39,2.39,5,21,101,order arrived yet overdue please let know step take,101,9
TKT-1123,"To whom it may concern, The feature stopped working after the last update",Technical Support,Low,Chat,Neutral,Resolved,19.97,24.86,5,13,73,may concern feature stopped working last update,73,7
TKT-1124,"Good day, What is the data retention policy for your service",Product Information,Medium,Chat,Negative,Resolved,9.84,15.92,3,11,60,good day data retention policy service,60,6
TKT-1125,"Hello, My refund has not been processed after two weeks Please let me know what steps I should take.",Returns & Refunds,High,Email,Negative,Resolved,4.13,10.44,3,19,100,hello refund processed two week please let know step take,100,10
TKT-1126,"To whom it may concern, I need to schedule a redelivery for my parcel I need urgent assistance with this.",Shipping & Delivery,Low,Email,Negative,Pending,6.02,24.94,3,20,105,may concern need schedule redelivery parcel need urgent assistance,105,8
TKT-1127,"Hi there, Dashboard is not loading any data for me This is affecting my work significantly.",Technical Support,Low,Email,Positive,Pending,25.38,44.97,2,16,91,dashboard loading data affecting work significantly,91,6
TKT-1128,"Hi, The website is showing a 500 internal server error Please help me resolve this as soon as possible.",Technical Support,Low,Phone,Negative,Pending,12.15,91.55,2,19,103,website showing internal server error please help resolve soon possible,103,10
TKT-1129,"Hello, Error message appears every time I try to save",Technical Support,Low,Email,Negative,Resolved,5.59,7.53,3,10,53,hello error message appears every time try save,53,8
TKT-1130,"Good day, What languages does your platform currently support Thank you for your help.",Product Information,Medium,Phone,Neutral,Pending,5.02,15.83,2,14,86,good day language platform currently support thank help,86,8
TKT-1131,"Good day, Does your product comply with GDPR regulations Looking forward to your prompt response.",Product Information,Medium,Chat,Neutral,Resolved,9.64,30.26,4,15,97,good day product comply gdpr regulation looking forward prompt response,97,10
TKT-1132,"Hi, My store credit was not applied to my account I need urgent assistance with this.",Returns & Refunds,Critical,Web Form,Negative,Resolved,0.67,7.42,5,16,85,store credit applied account need urgent assistance,85,7
TKT-1133,"Dear Support, What are the system requirements for your software",Product Information,Medium,Chat,Positive,Resolved,12.04,22.78,3,10,64,dear support system requirement software,64,5
TKT-1134,"Good day, I need a copy of my tax invoice for last year I need urgent assistance with this.",Billing & Payments,High,Email,Negative,Resolved,1.27,2.27,5,19,91,good day need copy tax invoice last year need urgent assistance,91,10
TKT-1135,"Dear team, Does the product support integration with Salesforce I have been waiting for a while now.",Product Information,Low,Chat,Negative,Resolved,25.29,152.76,4,17,100,dear team product support integration salesforce waiting,100,7
TKT-1136,Do you offer any educational or nonprofit discounts Thank you for your help.,Product Information,Low,Web Form,Positive,Escalated,21.84,87.9,2,13,76,offer educational nonprofit discount thank help,76,6
TKT-1137,"Dear Support, I received the wrong item in my package",Shipping & Delivery,Low,Chat,Negative,Resolved,17.56,21.02,3,10,53,dear support received wrong item package,53,6
TKT-1138,"Good day, Is there a free trial available for your enterprise plan Please let me know what steps I should take.",Product Information,High,Email,Positive,Resolved,1.97,6.06,4,21,111,good day free trial available enterprise plan please let know step take,111,12
TKT-1139,"Good day, I received the wrong item in my package Please let me know what steps I should take.",Shipping & Delivery,High,Chat,Neutral,Resolved,4.36,37.5,5,19,94,good day received wrong item package please let know step take,94,11
TKT-1140,"Hi there, Can you explain the difference between basic and pro This is affecting my work significantly.",Product Information,Low,Chat,Positive,Resolved,1.27,50.65,4,17,103,explain difference basic pro affecting work significantly,103,7
TKT-1141,"To whom it may concern, Please update my personal information in the system I need urgent assistance with this.",Account Management,Medium,Email,Negative,Resolved,15.63,40.26,5,19,111,may concern please update personal information system need urgent assistance,111,10
TKT-1142,"Good day, The website is showing a 500 internal server error Thank you for your help.",Technical Support,Medium,Phone,Neutral,Pending,14.24,25.67,3,16,85,good day website showing internal server error thank help,85,9
TKT-1143,"Good day, My refund has not been processed after two weeks I need urgent assistance with this.",Returns & Refunds,Medium,Email,Positive,Escalated,36.01,57.27,1,17,94,good day refund processed two week need urgent assistance,94,9
TKT-1144,"To whom it may concern, Does your product comply with GDPR regulations",Product Information,Medium,Phone,Negative,Pending,12.9,55.33,4,12,70,may concern product comply gdpr regulation,70,6
TKT-1145,"Good day, What features are included in the premium plan Thank you for your help.",Product Information,Low,Web Form,Neutral,Resolved,69.2,72.1,5,15,81,good day feature included premium plan thank help,81,8
TKT-1146,"Hi, Do you offer any educational or nonprofit discounts Thank you for your help.",Product Information,Critical,Web Form,Neutral,Resolved,0.5,4.09,4,14,80,offer educational nonprofit discount thank help,80,6
TKT-1147,"To whom it may concern, What features are included in the premium plan Please let me know what steps I should take.",Product Information,Critical,Chat,Negative,Escalated,1.98,7.57,1,22,115,may concern feature included premium plan please let know step take,115,11
